EVENT,BOUT,DATE,OUTCOME,WEIGHTCLASS,METHOD,fighter1,fighter2,fighter1_win,f2_distance_landed_avg,f2_sig_str_landed_avg,f2_recent_avg_distance_landed,f1_sig_str_landed_peak,f1_recent_avg_sig_str_landed,f2_distance_landed_peak,f1_distance_landed_peak,f2_age_at_fight_valley,f2_recent_avg_sig_str_landed,f2_body_landed_peak,f1_distance_landed_avg,f2_sig_str_landed_dec_avg,f1_recent_avg_head_landed,f1_body_landed_avg,f1_sig_str_landed_avg,f1_age_at_fight_valley,f2_head_landed_avg,f1_head_landed_peak,f1_recent_avg_sig_str_per_min,f1_age_at_fight_peak,f2_sig_str_landed_peak,f1_recent_avg_distance_landed,f1_age_at_fight,f1_sig_str_per_min_peak,f2_body_landed_avg,f2_recent_avg_head_landed,f1_recent_avg_body_landed,ratio_HEIGHT,f1_distance_att,ratio_REACH
UFC 2: No Way Out,Royce Gracie vs. Patrick Smith,1994-03-11,W/L,UFC 2 Tournament Title Bout,KO/TKO ,Patrick Smith,Royce Gracie,1.0,0.6666666666666666,2.0,0.6666666666666666,13.0,5.0,2.0,3.0,,2.0,0.0,0.75,1.0,4.0,1.25,5.0,,1.0,12.0,9.271234512613823,,4.0,0.0,,26.0,0.0,1.0,1.0,,1,
UFC 2: No Way Out,Royce Gracie vs. Remco Pardoel,1994-03-11,W/L,Open Weight Bout,Submission ,Remco Pardoel,Royce Gracie,1.0,0.5,1.5,0.6666666666666666,7.0,3.6666666666666665,2.0,0.0,,2.0,0.0,0.0,2.0,3.6666666666666665,0.0,3.6666666666666665,,0.75,7.0,1.708397498051294,,4.0,0.0,,4.719101123595506,0.0,1.0,0.0,,0,
UFC 2: No Way Out,Scott Morris vs. Sean Daugherty,1994-03-11,W/L,Open Weight Bout,Submission ,Scott Morris,Sean Daugherty,1.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,,0.0,0.0,0.0,,0.5,0.0,0.5,,0.0,1.0,1.5,,0.0,0.0,,3.0,0.0,0.0,0.0,,0,
UFC 3: The American Dream,Harold Howard vs. Roland Payne,1994-09-09,W/L,Open Weight Bout,KO/TKO ,Harold Howard,Roland Payne,1.0,2.0,3.0,2.0,9.0,9.0,2.0,1.0,,3.0,2.0,1.0,,9.0,0.0,9.0,,0.0,9.0,11.739130434782608,,3.0,1.0,,11.739130434782608,2.0,0.0,0.0,,4,
UFC 3: The American Dream,Keith Hackney vs. Emmanuel Yarborough,1994-09-09,W/L,Open Weight Bout,KO/TKO ,Emmanuel Yarborough,Keith Hackney,1.0,6.0,34.0,6.0,1.0,1.0,6.0,0.0,,34.0,0.0,0.0,,1.0,0.0,1.0,,29.0,1.0,0.5042016806722689,,34.0,0.0,,0.5042016806722689,0.0,29.0,0.0,,2,
UFC 3: The American Dream,Ken Shamrock vs. Christophe Leninger,1994-09-09,W/L,Open Weight Bout,KO/TKO ,Christophe Leninger,Ken Shamrock,1.0,0.0,8.0,0.0,1.0,1.0,0.0,1.0,30.576317590691307,8.0,3.0,1.0,,1.0,0.0,1.0,,5.0,1.0,0.20761245674740486,,8.0,1.0,,0.20761245674740486,3.0,5.0,0.0,,2,
UFC 3: The American Dream,Ken Shamrock vs. Felix Lee Mitchell,1994-09-09,W/L,Open Weight Bout,Submission ,Felix Lee Mitchell,Ken Shamrock,1.0,0.0,6.0,0.0,3.0,3.0,0.0,0.0,30.576317590691307,6.0,3.0,0.0,8.0,0.0,1.0,3.0,,3.0,0.0,0.6569343065693432,,8.0,0.0,,0.6569343065693432,2.5,3.0,1.0,,0,
UFC 3: The American Dream,Royce Gracie vs. Kimo Leopoldo,1994-09-09,W/L,Open Weight Bout,Submission ,Kimo Leopoldo,Royce Gracie,1.0,0.4,1.6,0.0,6.0,6.0,2.0,0.0,,2.0,0.0,0.0,1.5,3.0,2.0,6.0,26.677618069815196,0.8,3.0,1.2857142857142856,26.677618069815196,4.0,0.0,26.677618069815196,1.2857142857142856,0.0,1.3333333333333333,2.0,,1,
UFC 3: The American Dream,Steve Jennum vs. Harold Howard,1994-09-09,W/L,UFC 3 Tournament Title Bout,KO/TKO ,Harold Howard,Steve Jennum,1.0,1.0,6.0,1.0,9.0,5.5,1.0,1.0,,6.0,0.0,1.0,,5.5,0.0,5.5,,6.0,9.0,6.5592203898050965,,6.0,1.0,,11.739130434782608,0.0,6.0,0.0,,4,
UFC 4: Revenge of the Warriors,Dan Severn vs. Anthony Macias,1994-12-16,W/L,Open Weight Bout,Submission ,Anthony Macias,Dan Severn,1.0,0.0,0.0,0.0,8.0,8.0,0.0,2.0,36.52292950034223,0.0,0.0,2.0,,4.0,2.0,8.0,,0.0,4.0,4.571428571428571,,0.0,2.0,,4.571428571428571,0.0,0.0,2.0,,3,
UFC 4: Revenge of the Warriors,Dan Severn vs. Marcus Bossett,1994-12-16,W/L,Open Weight Bout,Submission ,Dan Severn,Marcus Bossett,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,,1.0,1.0,0.0,,0.0,0.0,0.0,36.52292950034223,0.0,0.0,0.0,36.52292950034223,1.0,0.0,36.52292950034223,0.0,1.0,0.0,0.0,,0,
